('d_lang', 'Langstrecke')
('d_k1', 'Klasse 01')
('d_k2', 'Klasse 02')
('d_k3', 'Klasse 03')
('d_k4', 'Klasse 04')
('d_k5', 'Klasse 05')
('d_k6', 'Klasse 06')
('d_k7', 'Klasse 07')
('d_k8', 'Klasse 08')
('d_k9', 'Klasse 09')
('d_k10', 'Klasse 10')
('d_k11', 'Klasse 11')
('d_k12', 'Klasse 12')
('d_k13', 'Klasse 13')
('d_k14', 'Klasse 14')
('d_k15', 'Klasse 15')
('w_lang', 'Langstrecke (WACV)')
('w_k1', 'Klasse 01')
('w_k2', 'Klasse 02')
('w_k3', 'Klasse 03')
('w_k4', 'Klasse 04')
('w_k5', 'Klasse 05')
('w_k6', 'Klasse 06')
('w_k7', 'Klasse 07')
('w_k8', 'Klasse 08')
('w_k9', 'Klasse 09')
('w_k10', 'Klasse 10')
('w_k11', 'Klasse 11')
('w_k12', 'Klasse 12')
('w_k13', 'Klasse 13')
('w_k14', 'Klasse 14')
('w_k15', 'Klasse 15')
('d_el_div1', 'Endlauf Div 1')
('d_el_div2', 'Endlauf Div 2')
('d_el_div3', 'Endlauf Div 3')
('d_el_div4', 'Endlauf Div 4')
('d_sc_div1', 'Super Cup Div 1')
('d_sc_div2', 'Super Cup Div 2')
('d_sc_div3', 'Super Cup Div 3')
('d_sc_div4a', 'Super Cup Div 4a')
('d_sc_div4b', 'Super Cup Div 4b')
('d_sc_div5', 'Super Cup Div 5')
('d_sc_div4', 'Super Cup Div 4')
('d_sc_div6', 'Super Cup Div 6')
